KO	EN	File	Product	DNT	Case-sensitive	Note	Def_KO
사용자	user		ALL	False			
규정	rule		ALL	False			
참고	note		ALL	False			
정책	policy		ALL	False			
개인정보	personal data		ALL	False			
좌측 메뉴	left menu		ALL	False			
검색 필드	search field		ALL	False			
검색 필터	search filter		ALL	False			
로그	log		ALL	False			
저장	save		ALL	False			
민감정보	sensitive data		ALL	False			
전체	all		ALL	False			
경고 메시지	warning message		AI-R DLP	False			
딥러닝 태그	deep learning tags		AI-R DLP	False			
검출 지침	detection guideline		AI-R DLP	False			
대외비	internal data		AI-R DLP	False			
부서	group		ALL	False			
우측 하단	bottom right corner		ALL	False			
관리자	administrator		ALL	False			
이상 행위	anomaly		AI-R DLP	False			
첨부 파일	attachment		AI-R DLP	False			
우측 상단	top right corner		ALL	False			
정규식 패턴	regex patterns		AI-R DLP	False			
복수 선택 가능	multiple selections allowed		ALL	False			
AI-R DLP	AI-R DLP		ALL	True			
